S1Q1,S1Q2,S1Q3,S1Q4,S1Q5,S1Q6,S1Q1_recoded,S1Q2_recoded,S1Q3_recoded,S1Q4_recoded,S1Q5_recoded,S1Q6_recoded,Total_awareness_score,S2Q1,S2Q2,S2Q3,S2Q4,S2Q5,Average_behaviour ,S3Q1,S3Q2,S3Q3,Trust_score,S4Q1,S4Q2,S4Q3,Average_regulation_score,Age_recoded,Gender_recoded,Education_recoded,Screen_time_recoded
TRUE,FALSE,Not Sure,FALSE,Not Sure,Not Sure,1,1,0,1,0,0,3,2,1,1,2,4,2,1,4,2,1.5,5,5,5,5,5,0,3,2
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,5,4,1,2,5,3.4,4,4,2,3,4,5,5,4.67,1,0,3,2
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,1,1,0,0,1,3,4,3,2,3,4,3.2,2,3,3,2.5,5,5,5,5,1,0,2,2
TRUE,Not Sure,TRUE,FALSE,FALSE,TRUE,1,0,1,1,0,0,3,3,4,1,1,3,2.4,2,4,2,2,3,4,2,3,2,1,3,4
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,4,4,4,4,4,4,2,3,3,2.5,3,3,4,3.33,1,0,2,1
TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,1,1,1,1,0,5,2,3,2,2,4,2.6,1,5,2,1.5,5,5,5,5,1,1,3,3
TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,0,1,1,1,5,4,4,4,2,4,3.6,3,3,3,3,4,5,4,4.33,1,1,2,2
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,4,5,1,2,4,3.2,2,4,3,2.5,5,4,4,4.33,1,0,3,2
TRUE,Not Sure,Not Sure,FALSE,FALSE,TRUE,1,0,0,1,0,0,2,2,3,3,3,3,2.8,3,3,2,2.5,4,4,4,4,4,1,3,2
TRUE,Not Sure,TRUE,FALSE,TRUE,Not Sure,1,0,1,1,1,0,4,5,3,1,1,5,3,1,5,2,1.5,5,5,5,5,1,1,3,2
